nodes,maxhops,se
1450,17,16.6703448276
1600,20,19.825
1600,17,16.825
1600,23,22.825
1600,15,14.825
1600,18,17.825
1600,14,13.825
1600,18,17.825
1600,19,18.825
1600,21,20.825
1600,17,16.825
1600,21,20.825
1600,18,17.825
1600,20,19.825
1600,20,19.825
1600,19,18.825
250,12,5.456
250,18,11.456
250,13,6.456
250,14,7.456
250,14,7.456
250,22,15.456
250,18,11.456
250,16,9.456
250,15,8.456
250,19,12.456
250,18,11.456
250,15,8.456
250,15,8.456
250,15,8.456
250,17,10.456
250,14,7.456
250,22,15.456
250,18,11.456
250,21,14.456
250,14,7.456
250,15,8.456
250,14,7.456
250,17,10.456
250,17,10.456
250,11,4.456
250,14,7.456
250,16,9.456
250,23,16.456
250,18,11.456
250,14,7.456
250,13,6.456
250,12,5.456
250,16,9.456
250,17,10.456
250,23,16.456
250,13,6.456
250,16,9.456
250,17,10.456
250,17,10.456
250,20,13.456
250,22,15.456
250,17,10.456
250,13,6.456
250,17,10.456
250,18,11.456
250,17,10.456
250,15,8.456
250,14,7.456
250,16,9.456
250,16,9.456
250,13,6.456
250,16,9.456
250,16,9.456
250,17,10.456
250,20,13.456
250,16,9.456
250,13,6.456
250,17,10.456
250,16,9.456
250,16,9.456
250,15,8.456
250,14,7.456
250,19,12.456
250,14,7.456
250,24,17.456
250,17,10.456
250,17,10.456
250,17,10.456
250,25,18.456
250,16,9.456
250,15,8.456
250,14,7.456
250,14,7.456
250,14,7.456
250,17,10.456
250,20,13.456
250,13,6.456
250,14,7.456
250,21,14.456
250,15,8.456
250,17,10.456
250,12,5.456
250,15,8.456
250,16,9.456
250,24,17.456
250,15,8.456
250,14,7.456
250,18,11.456
250,18,11.456
250,26,19.456
250,14,7.456
250,12,5.456
250,16,9.456
250,14,7.456
250,15,8.456
250,14,7.456
250,15,8.456
250,17,10.456
250,11,4.456
250,20,13.456
400,14,9.915
400,18,13.915
400,14,9.915
400,15,10.915
400,17,12.915
400,19,14.915
400,19,14.915
400,14,9.915
400,16,11.915
400,16,11.915
400,15,10.915
400,19,14.915
400,15,10.915
400,17,12.915
400,16,11.915
400,13,8.915
400,19,14.915
400,19,14.915
400,17,12.915
400,12,7.915
400,19,14.915
400,17,12.915
400,18,13.915
400,13,8.915
400,18,13.915
400,22,17.915
400,16,11.915
400,15,10.915
400,15,10.915
400,17,12.915
400,17,12.915
400,21,16.915
400,17,12.915
400,15,10.915
400,16,11.915
400,15,10.915
400,16,11.915
400,13,8.915
400,18,13.915
400,16,11.915
400,17,12.915
400,16,11.915
400,18,13.915
400,15,10.915
400,17,12.915
400,17,12.915
400,14,9.915
400,18,13.915
400,16,11.915
400,13,8.915
400,15,10.915
400,19,14.915
400,17,12.915
400,16,11.915
400,14,9.915
400,16,11.915
400,17,12.915
400,16,11.915
400,15,10.915
400,13,8.915
400,19,14.915
400,19,14.915
400,18,13.915
400,17,12.915
400,13,8.915
400,18,13.915
400,16,11.915
400,13,8.915
400,19,14.915
400,16,11.915
400,16,11.915
400,15,10.915
400,14,9.915
400,19,14.915
400,17,12.915
400,15,10.915
400,19,14.915
400,19,14.915
400,17,12.915
400,21,16.915
400,15,10.915
400,15,10.915
400,17,12.915
400,22,17.915
400,16,11.915
400,13,8.915
400,17,12.915
400,15,10.915
400,16,11.915
400,17,12.915
400,15,10.915
400,14,9.915
400,16,11.915
400,15,10.915
400,14,9.915
400,13,8.915
400,17,12.915
400,13,8.915
400,19,14.915
400,18,13.915
550,15,12.0545454545
550,18,15.0545454545
550,16,13.0545454545
550,21,18.0545454545
550,15,12.0545454545
550,15,12.0545454545
550,14,11.0545454545
550,16,13.0545454545
550,15,12.0545454545
550,14,11.0545454545
550,18,15.0545454545
550,19,16.0545454545
550,15,12.0545454545
550,17,14.0545454545
550,13,10.0545454545
550,15,12.0545454545
550,15,12.0545454545
550,17,14.0545454545
550,13,10.0545454545
550,16,13.0545454545
550,13,10.0545454545
550,19,16.0545454545
550,14,11.0545454545
550,17,14.0545454545
550,18,15.0545454545
550,17,14.0545454545
550,16,13.0545454545
550,20,17.0545454545
550,14,11.0545454545
550,16,13.0545454545
550,18,15.0545454545
550,17,14.0545454545
550,19,16.0545454545
550,13,10.0545454545
550,18,15.0545454545
550,15,12.0545454545
550,16,13.0545454545
550,15,12.0545454545
550,16,13.0545454545
550,14,11.0545454545
550,19,16.0545454545
550,12,9.05454545455
550,15,12.0545454545
550,14,11.0545454545
550,17,14.0545454545
550,18,15.0545454545
550,16,13.0545454545
550,18,15.0545454545
550,16,13.0545454545
550,18,15.0545454545
550,15,12.0545454545
550,14,11.0545454545
550,22,19.0545454545
550,14,11.0545454545
550,15,12.0545454545
550,17,14.0545454545
550,16,13.0545454545
550,17,14.0545454545
550,17,14.0545454545
550,19,16.0545454545
550,12,9.05454545455
550,15,12.0545454545
550,19,16.0545454545
550,18,15.0545454545
550,19,16.0545454545
550,17,14.0545454545
550,14,11.0545454545
550,15,12.0545454545
550,15,12.0545454545
550,17,14.0545454545
550,17,14.0545454545
550,16,13.0545454545
550,14,11.0545454545
550,15,12.0545454545
550,18,15.0545454545
550,15,12.0545454545
550,14,11.0545454545
550,14,11.0545454545
550,17,14.0545454545
550,16,13.0545454545
550,16,13.0545454545
550,17,14.0545454545
550,19,16.0545454545
550,19,16.0545454545
550,15,12.0545454545
550,19,16.0545454545
550,18,15.0545454545
550,12,9.05454545455
550,16,13.0545454545
550,15,12.0545454545
550,18,15.0545454545
550,16,13.0545454545
550,17,14.0545454545
550,16,13.0545454545
550,14,11.0545454545
550,16,13.0545454545
550,21,18.0545454545
550,14,11.0545454545
550,17,14.0545454545
550,17,14.0545454545
700,13,10.6728571429
700,16,13.6728571429
700,16,13.6728571429
700,13,10.6728571429
700,15,12.6728571429
700,21,18.6728571429
700,16,13.6728571429
700,19,16.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,13,10.6728571429
700,15,12.6728571429
700,15,12.6728571429
700,17,14.6728571429
700,18,15.6728571429
700,17,14.6728571429
700,17,14.6728571429
700,16,13.6728571429
700,15,12.6728571429
700,16,13.6728571429
700,15,12.6728571429
700,14,11.6728571429
700,18,15.6728571429
700,14,11.6728571429
700,16,13.6728571429
700,16,13.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,16,13.6728571429
700,14,11.6728571429
700,15,12.6728571429
700,18,15.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,19,16.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,13,10.6728571429
700,13,10.6728571429
700,19,16.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,16,13.6728571429
700,14,11.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,18,15.6728571429
700,15,12.6728571429
700,17,14.6728571429
700,17,14.6728571429
700,18,15.6728571429
700,15,12.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,18,15.6728571429
700,14,11.6728571429
700,13,10.6728571429
700,17,14.6728571429
700,17,14.6728571429
700,18,15.6728571429
700,20,17.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,17,14.6728571429
700,17,14.6728571429
700,19,16.6728571429
700,17,14.6728571429
700,19,16.6728571429
700,15,12.6728571429
700,18,15.6728571429
700,15,12.6728571429
700,14,11.6728571429
700,19,16.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,19,16.6728571429
700,17,14.6728571429
700,15,12.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,20,17.6728571429
700,17,14.6728571429
700,14,11.6728571429
700,17,14.6728571429
700,16,13.6728571429
700,16,13.6728571429
700,18,15.6728571429
700,17,14.6728571429
700,16,13.6728571429
700,14,11.6728571429
700,19,16.6728571429
700,19,16.6728571429
700,14,11.6728571429
700,16,13.6728571429
700,17,14.6728571429
700,15,12.6728571429
850,15,13.0117647059
850,17,15.0117647059
850,14,12.0117647059
850,16,14.0117647059
850,15,13.0117647059
850,16,14.0117647059
850,16,14.0117647059
850,18,16.0117647059
850,17,15.0117647059
850,16,14.0117647059
850,19,17.0117647059
850,18,16.0117647059
850,17,15.0117647059
850,16,14.0117647059
850,14,12.0117647059
850,17,15.0117647059
850,18,16.0117647059
850,17,15.0117647059
850,18,16.0117647059
850,16,14.0117647059
850,16,14.0117647059
850,15,13.0117647059
850,16,14.0117647059
850,16,14.0117647059
850,19,17.0117647059
850,18,16.0117647059
850,18,16.0117647059
850,18,16.0117647059
850,16,14.0117647059
850,14,12.0117647059
850,15,13.0117647059
850,16,14.0117647059
850,16,14.0117647059
850,17,15.0117647059
850,17,15.0117647059
850,16,14.0117647059
850,19,17.0117647059
850,17,15.0117647059
850,15,13.0117647059
850,18,16.0117647059
850,14,12.0117647059
850,14,12.0117647059
850,16,14.0117647059
850,16,14.0117647059
850,18,16.0117647059
850,18,16.0117647059
