nodes,maxtime,se
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,20.004009,18.58859312
1000,10.007005,8.59158912
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.007005,8.59158912
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.007005,13.59158912
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.007005,8.59158912
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,15.004009,13.58859312
1000,15.004009,13.58859312
1000,10.004009,8.58859312
1000,10.007005,8.59158912
1000,15.004009,13.58859312
1000,15.004009,13.58859312
100,25.004009,0.69938102
100,35.004009,10.69938102
100,15.004009,9.30061898
100,20.027005,4.27762298
100,25.004009,0.69938102
100,20.004009,4.30061898
100,30.004009,5.69938102
100,15.004009,9.30061898
100,20.004009,4.30061898
100,35.017005,10.71237702
100,40.004009,15.69938102
100,25.004009,0.69938102
100,20.004009,4.30061898
100,25.004009,0.69938102
100,25.004009,0.69938102
100,15.004009,9.30061898
100,15.004009,9.30061898
100,20.007005,4.29762298
100,30.004009,5.69938102
100,25.004009,0.69938102
100,60.004009,35.69938102
100,20.004009,4.30061898
100,30.004009,5.69938102
100,15.004009,9.30061898
100,20.004009,4.30061898
100,30.004009,5.69938102
100,45.004009,20.69938102
100,20.004009,4.30061898
100,15.004009,9.30061898
100,15.004009,9.30061898
100,25.004009,0.69938102
100,30.004009,5.69938102
100,20.004009,4.30061898
100,20.004009,4.30061898
100,20.004009,4.30061898
100,40.004009,15.69938102
100,20.004009,4.30061898
100,30.004009,5.69938102
100,15.004009,9.30061898
100,25.004009,0.69938102
100,25.004009,0.69938102
100,55.007005,30.70237702
100,20.004009,4.30061898
100,40.004009,15.69938102
100,25.004009,0.69938102
100,20.027005,4.27762298
100,20.004009,4.30061898
100,25.004009,0.69938102
100,10.007005,14.29762298
100,30.004009,5.69938102
100,55.004009,30.69938102
100,40.004009,15.69938102
100,25.004009,0.69938102
100,25.004009,0.69938102
100,20.004009,4.30061898
100,15.004009,9.30061898
100,25.004009,0.69938102
100,35.004009,10.69938102
100,25.004009,0.69938102
100,15.007005,9.29762298
100,25.004009,0.69938102
100,30.007005,5.70237702
100,25.004009,0.69938102
100,50.004009,25.69938102
100,35.004009,10.69938102
100,15.004009,9.30061898
100,15.004009,9.30061898
100,30.004009,5.69938102
100,20.007005,4.29762298
100,25.004009,0.69938102
100,25.004009,0.69938102
100,15.004009,9.30061898
100,45.004009,20.69938102
100,20.004009,4.30061898
100,30.007005,5.70237702
100,15.007005,9.29762298
100,25.004009,0.69938102
100,25.004009,0.69938102
100,30.007005,5.70237702
100,20.004009,4.30061898
100,20.004009,4.30061898
100,65.004009,40.69938102
100,30.004009,5.69938102
100,15.004009,9.30061898
100,20.004009,4.30061898
100,25.004009,0.69938102
100,10.004009,14.30061898
100,25.004009,0.69938102
100,20.004009,4.30061898
100,15.004009,9.30061898
100,65.004009,40.69938102
100,25.004009,0.69938102
100,10.004009,14.30061898
100,20.004009,4.30061898
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,20.004009,19.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.007005,9.16763490609
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,15.004009,14.1646389061
1150,10.004009,9.16463890609
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,10.007005,9.62612861385
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,10.004009,9.62313261385
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,15.004009,14.6231326138
1300,10.004009,9.62313261385
