nodes,avg
1000,3.251875
1000,3.235
1000,3.26125
1000,3.298125
1000,3.231875
1000,3.279375
1000,3.31625
1000,3.26875
1150,3.257391
1150,3.291304
1150,3.241739
1150,3.253913
1150,3.266087
1150,3.264348
1150,3.26
1150,3.270435
1150,3.282609
1150,3.277391
1150,3.282609
1150,3.255652
1150,3.275652
1150,3.269565
1150,3.270435
1150,3.283478
1150,3.26087
1150,3.265217
1150,3.28087
1150,3.266087
1150,3.252174
1150,3.28
1150,3.245217
1150,3.264348
1150,3.278261
1150,3.303478
1150,3.269565
1150,3.254783
1150,3.274783
1150,3.24
1150,3.309565
1150,3.286087
1150,3.236522
1150,3.254783
1150,3.266957
1150,3.276522
1150,3.262609
1150,3.246957
1150,3.28087
1150,3.27913
1150,3.266957
1150,3.262609
1150,3.248696
1150,3.243478
1150,3.251304
1150,3.249565
1150,3.253913
1150,3.289565
1150,3.264348
1150,3.297391
1150,3.287826
1150,3.252174
1150,3.233913
1150,3.253913
1150,3.271304
1150,3.286087
1150,3.254783
1150,3.242609
1150,3.293913
1150,3.250435
1150,3.304348
1150,3.28087
1150,3.273913
1150,3.282609
1150,3.249565
1150,3.262609
1150,3.265217
1150,3.26
1150,3.234783
1150,3.264348
1150,3.266957
1150,3.26087
1150,3.296522
1150,3.251304
1150,3.293043
1150,3.253913
1150,3.269565
1150,3.254783
1150,3.276522
1150,3.291304
1150,3.276522
1150,3.241739
1150,3.273043
1150,3.253913
1150,3.269565
1150,3.273913
1150,3.286087
1150,3.308696
1150,3.283478
1150,3.273043
1150,3.267826
1150,3.249565
1150,3.245217
1150,3.227826
1150,3.252174
1150,3.293043
1150,3.257391
1150,3.263478
1150,3.295652
1150,3.284348
1300,3.276923
1300,3.225385
1300,3.297692
1300,3.274615
1300,3.247692
1300,3.303077
1300,3.280769
1300,3.236154
1300,3.283077
1300,3.234615
1300,3.258462
1300,3.291538
1300,3.246154
1300,3.233077
1300,3.236923
1300,3.257692
1300,3.250769
1300,3.251538
1300,3.226923
1300,3.236923
1300,3.283077
1300,3.298462
1300,3.282308
1300,3.280769
1300,3.22
1300,3.256923
1300,3.258462
1300,3.239231
1300,3.272308
1300,3.284615
1300,3.292308
1300,3.268462
1300,3.251538
1300,3.293846
1300,3.310769
1300,3.226923
1300,3.228462
1300,3.250769
1300,3.285385
1300,3.253077
1300,3.265385
1300,3.259231
1300,3.26
1300,3.286154
1300,3.247692
1300,3.293846
1300,3.260769
1300,3.216923
1300,3.276923
1300,3.232308
1300,3.250769
1300,3.283846
1300,3.323846
1300,3.250769
1300,3.226923
1300,3.232308
1300,3.243077
1300,3.276923
1300,3.249231
1300,3.305385
1300,3.266923
1300,3.263846
1300,3.298462
1300,3.256923
1300,3.298462
1300,3.273846
1300,3.215385
1300,3.200769
1300,3.262308
1300,3.274615
1300,3.265385
1300,3.238462
1300,3.245385
1300,3.243846
1300,3.232308
1300,3.277692
1300,3.274615
1300,3.232308
1300,3.256923
1300,3.242308
1300,3.251538
1300,3.244615
1300,3.24
1300,3.248462
1300,3.255385
1300,3.253846
1300,3.267692
1300,3.280769
1300,3.243846
1300,3.271538
1300,3.266154
1300,3.266923
1300,3.223846
1300,3.23
1300,3.235385
1300,3.25
1300,3.261538
1300,3.273846
1300,3.300769
1300,3.279231
1450,3.304828
1450,3.253793
1450,3.25931
1450,3.231724
1450,3.284828
1450,3.233103
1450,3.243448
1450,3.284828
1450,3.282069
1450,3.264828
1450,3.332414
1450,3.248966
1450,3.262759
1450,3.26
1450,3.262069
1450,3.264138
1450,3.214483
1450,3.272414
1450,4.264828
1450,3.228276
1450,3.226207
1450,3.29931
1450,3.262759
1450,3.262759
1450,3.266207
1450,3.292414
1450,3.270345
1450,3.245517
1450,3.231034
1450,3.297241
1450,3.270345
1450,3.272414
1450,3.265517
1450,3.291724
1450,3.198621
1450,3.302759
1450,3.283448
