nodes,st
100,35.004009
100,25.004009
100,25.004009
100,70.004009
100,40.007005
100,20.004009
100,20.004009
100,15.004009
100,30.004009
100,20.004009
100,35.004009
100,15.004009
100,30.004009
100,15.004009
100,15.004009
100,15.004009
100,20.004009
100,30.004009
100,25.004009
100,20.004009
100,20.004009
100,15.004009
100,15.004009
100,25.004009
100,20.004009
100,35.004009
100,20.004009
100,15.012005
100,20.004009
100,10.004009
100,20.004009
100,20.004009
100,25.004009
100,40.004009
100,20.004009
100,15.004009
100,15.004009
100,15.004009
100,40.004009
100,25.004009
100,10.004009
100,35.004009
100,15.004009
100,25.004009
100,20.004009
100,25.004009
100,40.004009
100,30.004009
100,30.004009
100,20.004009
100,20.004009
100,15.004009
100,25.004009
100,15.007005
100,20.004009
100,15.004009
100,15.004009
100,25.004009
100,20.004009
100,15.004009
100,25.004009
100,30.004009
100,20.004009
100,35.027005
100,25.007005
100,30.004009
100,25.007005
100,20.004009
100,15.004009
100,25.004009
100,20.004009
100,15.004009
100,25.004009
100,15.004009
100,35.004009
100,35.007005
100,80.004009
100,15.007005
100,15.004009
100,40.004009
100,20.004009
100,70.004009
100,40.004009
100,40.004009
100,20.004009
100,40.004009
100,20.004009
100,30.004009
100,20.004009
100,30.004009
100,15.004009
100,15.007005
100,30.004009
100,25.004009
250,10.004009
250,10.004009
250,15.004009
250,15.004009
250,15.004009
250,15.004009
250,10.004009
250,10.004009
250,25.004009
250,15.007005
250,10.004009
250,15.004009
250,10.004009
250,10.004009
250,15.004009
250,10.004009
250,20.004009
250,10.004009
250,15.004009
250,15.004009
250,15.004009
250,20.004009
250,10.004009
250,15.004009
250,15.004009
250,15.004009
250,10.004009
250,20.004009
250,10.004009
250,15.004009
250,15.004009
250,10.004009
250,15.004009
250,15.004009
250,10.004009
250,15.004009
250,15.004009
250,15.004009
250,15.004009
250,15.004009
250,10.004009
250,15.004009
250,15.004009
250,10.004009
250,15.004009
250,20.004009
250,15.004009
250,10.004009
250,15.004009
250,20.004009
250,10.004009
250,15.004009
250,10.004009
250,15.004009
250,10.012005
250,15.004009
250,10.004009
250,10.004009
250,20.004009
250,15.004009
250,10.004009
250,15.004009
250,10.004009
250,15.004009
250,10.004009
250,15.004009
250,10.004009
250,15.004009
250,10.004009
250,20.004009
250,10.004009
250,15.004009
250,15.004009
250,10.004009
250,15.004009
250,20.004009
250,15.004009
250,10.007005
250,10.004009
250,10.007005
250,15.004009
250,15.004009
250,15.004009
250,15.004009
250,15.007005
