num,time
1,10.004009
1,25.004009
1,15.004009
1,10.004009
1,25.017005
1,15.004009
1,25.004009
1,30.004009
1,10.004009
1,25.004009
1,20.004009
1,20.004009
1,10.004009
1,30.004009
1,20.004009
1,10.004009
1,20.004009
1,15.004009
1,15.022005
1,20.004009
1,110.032005
1,15.004009
1,25.004009
1,20.004009
1,25.004009
1,10.004009
1,30.004009
1,35.004009
1,35.027005
1,10.004009
1,10.027005
1,20.004009
1,35.004009
1,25.004009
1,40.004009
1,55.007005
1,20.004009
1,25.004009
1,15.004009
1,15.004009
1,15.004009
1,15.004009
1,10.004009
1,10.022005
1,10.007005
1,20.004009
1,15.004009
1,15.004009
1,20.004009
1,30.004009
1,15.007005
1,15.004009
1,40.004009
1,15.004009
1,20.007005
1,20.004009
1,20.004009
1,50.004009
1,25.012005
1,15.004009
1,25.004009
1,25.004009
1,20.004009
1,30.004009
1,20.004009
1,25.004009
1,10.004009
1,25.004009
1,20.012005
1,30.004009
1,30.004009
1,20.012005
1,30.004009
1,15.004009
1,25.004009
1,15.007005
1,15.004009
1,25.004009
1,55.012005
1,25.004009
1,30.004009
1,25.004009
1,25.004009
1,30.004009
1,35.004009
1,15.004009
1,15.004009
1,30.012005
1,25.004009
1,25.004009
1,15.004009
1,25.004009
1,15.012005
1,15.004009
50,10.004009
50,20.022005
50,25.004009
50,10.004009
50,25.004009
50,15.004009
50,25.004009
50,20.004009
50,15.004009
50,15.004009
50,15.004009
50,10.004009
50,10.004009
50,20.004009
50,15.004009
50,20.004009
50,30.004009
50,15.004009
50,20.004009
50,15.004009
50,20.004009
50,15.004009
50,15.004009
50,20.004009
50,15.004009
50,20.004009
50,15.004009
50,30.004009
50,25.004009
50,20.004009
50,25.004009
50,20.004009
50,20.004009
50,20.004009
50,35.004009
50,30.004009
50,25.004009
50,20.004009
50,10.004009
50,30.004009
50,15.004009
50,30.007005
50,20.004009
50,30.004009
50,10.004009
50,15.004009
50,10.004009
50,20.017005
50,15.007005
50,35.004009
50,15.004009
50,25.007005
50,35.004009
50,20.004009
50,20.004009
50,20.004009
50,15.004009
50,45.004009
50,25.004009
50,30.004009
50,30.004009
50,20.004009
50,10.007005
50,25.004009
50,40.004009
50,15.004009
50,25.004009
50,30.007005
50,35.004009
50,20.004009
50,20.004009
50,20.004009
50,15.004009
50,25.004009
50,25.004009
50,20.004009
50,20.004009
50,35.004009
50,25.004009
50,25.004009
50,20.004009
50,15.004009
50,15.007005
50,25.012005
50,10.004009
50,20.004009
50,15.004009
50,25.004009
50,15.007005
50,20.004009
50,30.004009
50,20.004009
50,20.004009
50,15.004009
50,20.004009
50,20.007005
50,15.007005
50,25.004009
50,10.004009
50,25.012005
50,25.004009
50,25.004009
50,25.004009
50,25.004009
50,30.004009
50,25.004009
50,20.004009
50,25.004009
50,25.004009
50,20.004009
50,10.004009
50,20.004009
50,15.004009
50,20.004009
50,30.004009
50,30.007005
50,15.032005
50,30.007005
50,30.004009
50,55.004009
50,45.027005
50,30.004009
50,15.004009
50,20.004009
50,20.004009
50,15.004009
50,25.004009
50,25.004009
50,15.004009
50,25.004009
50,20.004009
50,15.004009
50,25.004009
50,20.004009
50,15.004009
50,25.004009
50,30.004009
50,25.004009
50,25.004009
50,35.004009
50,35.004009
50,30.004009
50,15.007005
50,20.004009
50,30.004009
50,15.004009
50,15.004009
50,15.004009
50,15.004009
50,20.004009
50,30.017005
50,30.004009
50,20.004009
50,15.012005
50,20.004009
50,25.004009
50,20.004009
50,55.004009
50,20.004009
50,35.004009
50,20.004009
50,55.004009
50,20.022005
50,45.004009
50,25.007005
50,45.004009
50,30.004009
50,20.004009
50,40.004009
50,15.004009
50,35.004009
50,35.012005
50,45.012005
50,30.004009
50,50.004009
50,20.012005
50,90.012005
50,35.007005
50,15.004009
50,15.004009
50,40.004009
50,30.004009
50,15.004009
50,15.004009
50,65.004009
50,50.012005
50,30.007005
50,30.004009
50,45.004009
50,40.004009
50,50.004009
50,45.004009
50,30.004009
50,30.017005
50,30.004009
50,15.004009
50,35.004009
50,40.012005
50,20.004009
50,25.004009
50,30.004009
50,15.004009
50,35.007005
50,20.004009
50,35.004009
50,10.004009
50,15.004009
50,30.004009
50,15.004009
50,35.004009
50,30.017005
50,15.004009
50,40.004009
50,20.004009
50,15.004009
50,30.007005
50,20.007005
50,35.004009
50,25.004009
50,20.004009
50,25.004009
50,30.004009
50,35.007005
50,15.007005
50,20.004009
50,40.004009
50,35.004009
50,30.004009
50,30.004009
50,15.004009
50,20.004009
50,35.004009
50,25.004009
50,15.017005
50,20.007005
50,20.004009
50,35.004009
50,20.004009
50,15.004009
50,30.004009
50,10.007005
50,25.004009
50,20.004009
50,35.012005
50,25.004009
50,35.004009
50,20.004009
50,20.004009
50,15.004009
50,15.004009
50,20.004009
50,20.004009
50,15.007005
50,10.004009
50,25.004009
50,20.004009
50,35.004009
50,15.004009
50,35.004009
50,30.004009
50,20.004009
50,20.004009
50,20.004009
50,25.004009
50,35.004009
50,15.007005
50,20.004009
50,25.004009
50,20.004009
50,15.007005
