
#nodeNum,nodeCount,edgeCount,density=edgeCount/nodeCount
100 9400 98750 10.5053191489
250 10000 263221 26.3221
400 10000 420476 42.0476
550 10000 575499 57.5499
700 10000 732971 73.2971
850 10000 889335 88.9335
1000 10000 1052422 105.2422
1150 10000 1209977 120.9977
1300 10000 1367818 136.7818
1450 10000 1522871 152.2871
1600 10000 1678153 167.8153
